deposit_address,confidence,deposit_address_validator_count,withdrawal_addresses,avg_activation_epoch,related_withdrawal_address_validator_count
0x135fc07e43dfc021d1dc95bbc4a4edf77bcc685c,0.99947834,44,"[0x0b26f62b80c050837485f1778d0a1f234834d758,0x73fe8535168e4af696968120cd76ca87238d3913,0x286bff2e1bab9ac4029f9c52e41d05d68d696513,0x6a7533d315b800de0ca338b37fb4db58b5f27e21,0x2c6b63bc44f44acc39abeb5ab007f456e9eb14f2,0xe6b7d532d687e55cb0b4a95729f457c474402065,0xa781eb15d026c39b9197336c16f345fbf5ef1392,0x5f6df6f3233e22f9ae76dab105d5c26fa81fd070,0x26d6e26011e7e9d273a25347222c45df3a22bc42,0xfb23e0a6c1f15613c1705b46d9f3c9d45209e0ea,0x006b12f0df8a17dc91e8904e1583b33a2b75bbc4,0x3073fcaefbe27f5e1abd00eb2df3fd31299813f6,0xfb32190b38aab570529c255ddc9f211d7e19326e,0x04e6ca5e97303aa9093f1dad3f0d88b565e4db6c,0x45da5f7581387ed1b03dfce1ab1cc5972a70fcad,0x6f37eca153e6e98a50ccd638f3580ec5c8e7e7fa,0xcce96024a357e8af198c3572f7aa2433ab478478,0xf55e298488d751f484010614a71460d8146dedc6,0x53bb82de50143c79187e77608db2a0004b63b0e2,0xdb569e196cf359ddf85561686cfc5df10c7f96b1,0x5ef9a244365b5c10afd1d86f4076fed0f2586483,0xcd84a796bb1ed4e41bdf5ad05cf2747d550c2ee5,0x27c70c260139d9534d24a3934c21165594e093b3,0x0118e6e8c56a64e89614dca66e84d94b0af393e4,0x26a1aeadd9008e46e88be10efeef9c1b15fddad0,0xc7bf9e7a63e7a5c64460d663fd7c49f6572c4648,0x8e40d1dba605fb28019a19fb2429099567a8feb4,0x613495473df0fd560eaf8439b5f96d1c90dbcfab,0xdc3b611ff2f035024abac64b2a77297c2605c0b4,0x6f5c45f85fbf730c0af77801e7cf72858ba84f7b,0xdc323a340b1e4780b21077f2eb9e6700792ad694,0xae57edeae3b171c6e2c1ce847f8785584b683435,0x7a45bc8c4707bd9ef0939539c8f0c544e70e17bf,0x666b432bd5daf332c227053806e9a8d9eacc462e,0x2d1df538b8947a9fb5c329491f619d73c88e5951,0x827818c1332ae4da7270d08deb9395373955032a,0x543e7d86662c8b39dfcabc102080f23f10f34280,0x01c1ba10c50a6c873f604f31bf31d682831a4361,0xd7651cee2d5e29574af78a3c80e1d4ae2378a2fe,0xda5d89357f8240cddfff1a9e8ac5272a8d434eaf,0x0485fd27372ce49521791d824268c28ed6eee3c8,0x7fefcaedef461e48d8dff454e591afb88d207336,0x00ca8e93b561af27bae1b9e04275cbf62bf90a0c,0x02bae04e899aa3d4f9c256bb75d5f0501e245da4]",124034,44
0x2cae721e62193415a90f9b1fc1f8dbb5a786eafc,0.9994783,1,[0x2cae721e62193415a90f9b1fc1f8dbb5a786eafc],184,1
0xf73d4ae98070b4f58e1873c20b6262c48e8e13c6,0.9994781,1,[0x3e5522846f6f8be913ea389369f63d67dfb79a11],97612,8
0x91dbe200b4c203c846f4b1204b6528020580ff9c,0.9994764,1,[0xcc3bce4d9286ee6315521b29830e9de37cc86321],135849,1
0x09b0c20c39ea52c99f9f96c82fe89036ed1d3daf,0.99947566,1,[],11968,
0xc3312b46cddc1b09f5b3fa0f5aa82900a8c6fdfa,0.9994753,3,[],10604,
0x92c46f819165714d59622dced48cec8c67518996,0.99947494,102,[0x32aaa4b11e0480dd5da5489fa2f7e0b3737731a4],0,102
0x6a06cdb8c60d72ad282ec1434e67904e10374c5e,0.9994734,21,[0xabd6c51de173f356d8b845b9b72d904dff00d746],6072,156
0x6a53478f6c227337fcdd37d2455d1eba30fe7181,0.9994691,2,"[0xe6ab6897a01378bf487b008d4642603d29c7b0c2,0xb388cda7f9f758d69000f5185bff05981946e720]",101104,2
0x1a06999107dc7ff8ed2d8e3654cd70235663f6ef,0.9994665,32,[0xea8f79be561947150db8778e069de75dae47a746],21777,32
0x6ea270bad0e9505dea4f0d83e8865908533c2676,0.99946284,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],188,164
0x6177a8bfb714b3da0f59cf60fe0eb946ded0dbe4,0.99946254,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x6eec318014539b2c72e79e0032e5780babe20ad7,0.99946076,4,[0x0db5708d229c1d8471867d648d78d3000556cff0],92905,10
0x7421df67c10164d861442ae05326b23d6f4ea445,0.9994593,48,[0x7421df67c10164d861442ae05326b23d6f4ea445],43110,48
0xd9126fd651b425bf4b56577f59346e85e8b5887f,0.9994593,1,[],0,
0xee5095ec5400bf2f350fe68840c716ab944221db,0.99945754,40,[0xa169d48fca36318049f5bbe09ee7e1fd9d3b76c2],0,100
